node	type
YWHAG	gene
CGNL1	gene
BARD1	gene
CAP1	gene
MTRNR2L1	gene
DYRK1A	gene
PRDM14	gene
CALCOCO2	gene
DICER1	gene
CUL1	gene
KLF4	gene
UTP11	gene
IKZF5	gene
MPRIP	gene
NLK	gene
PEX14	gene
PRPF8	gene
BUD13	gene
DHRS2	gene
TCERG1	gene
OXT	gene
NIF3L1	gene
ESRRA	gene
GPT	gene
TMPRSS15	gene
RFX3	gene
TRIP6	gene
GTSE1	gene
MYO19	gene
GTF3C1	gene
RBM23	gene
JUN	gene
TSG101	gene
RPS2	gene
RPS15A	gene
KANK2	gene
SCARA5	gene
PAGE2	gene
H2AC20	gene
H4C4	gene
ZXDC	gene
ZMYND19	gene
VPS37B	gene
TMOD1	gene
TRPM7	gene
CDK4	gene
NUP133	gene
MTX1	gene
KCNIP4	gene
NMI	gene
MCPH1	gene
IL1RN	gene
POLR3D	gene
HOXC9	gene
CDC25B	gene
CDC14A	gene
BTK	gene
DCAF13	gene
H2AC15	gene
H3C6	gene
HIRA	gene
FANCA	gene
NAMPT	gene
KRTAP10-8	gene
BCHE	gene
LOXL1	gene
APEX2	gene
PDE12	gene
H3C12	gene
ZNF574	gene
ZNF526	gene
LBR	gene
EIF4A3	gene
UBE2M	gene
CUL7	gene
SAMD1	gene
BDH2	gene
CFAP36	gene
ZNF319	gene
RPL15	gene
RPL13A	gene
CEBPB	gene
RBM45	gene
DLX1	gene
SMAD4	gene
HNRNPA1	gene
YWHAZ	gene
KRTAP4-12	gene
LCE3B	gene
HLA-F	gene
IL17RB	gene
CELSR2	gene
PSG8	gene
NAB2	gene
C9orf78	gene
ARRB1	gene
POU2F1	gene
MDFI	gene
AURKB	gene
PHF23	gene
BRMS1L	gene
FAM50B	gene
AGMAT	gene
CNOT7	gene
SOD1	gene
MYBBP1A	gene
UBA2	gene
AR	gene
PURA	gene
EPS15	gene
HSH2D	gene
LDHAL6B	gene
LCE2B	gene
AIMP2	gene
PFDN6	gene
HTRA1	gene
CDYL	gene
AKAP8L	gene
TFAP2D	gene
HOXC4	gene
SIN3A	gene
HBP1	gene
VKORC1	gene
POP4	gene
TOR1AIP2	gene
NOS2	gene
PLA2G4A	gene
PKN2	gene
PPIAL4G	gene
ESR1	gene
TXNRD1	gene
UHRF1	gene
WIPI1	gene
MEOX2	gene
CCDC102B	gene
EPS8	gene
HOOK2	gene
GAK	gene
USO1	gene
LZTS2	gene
YTHDC1	gene
IL17A	gene
TRAF3IP2	gene
TPRX1	gene
INCA1	gene
RPL10	gene
SRSF8	gene
SUZ12	gene
PDHA2	gene
APBA3	gene
LCE1A	gene
ACTA1	gene
BLK	gene
PXN	gene
KRTAP2-3	gene
CREB1	gene
H3C10	gene
ALK	gene
BCKDHA	gene
PDLIM5	gene
MRPL3	gene
C1QBP	gene
MTMR4	gene
ZNF684	gene
EPB42	gene
GFI1	gene
RBM7	gene
LECT2	gene
RSL1D1	gene
ATR	gene
VSIG2	gene
SLC4A8	gene
SNX14	gene
AMFR	gene
SARAF	gene
VCP	gene
DCAF7	gene
SP2	gene
ANKRD16	gene
FAM90A1	gene
MCL1	gene
GUCD1	gene
PCBD2	gene
DDR1	gene
MTA1	gene
NBEAL1	gene
SPIRE2	gene
TSPAN15	gene
SYNE4	gene
FGB	gene
CCNE1	gene
UBTF	gene
MATR3	gene
TTF1	gene
CALML3	gene
MYO6	gene
ZNF785	gene
HAUS1	gene
BBS2	gene
BBS9	gene
THAP12	gene
KIAA1958	gene
SCN2B	gene
SCN9A	gene
PCBD1	gene
LRP1B	gene
PKP4	gene
RBL1	gene
TSC22D2	gene
TMBIM6	gene
SIT1	gene
VCAM1	gene
CHMP2A	gene
MAPK1	gene
BRF2	gene
USHBP1	gene
KRT79	gene
MECOM	gene
RUVBL2	gene
DCBLD2	gene
SREBF1	gene
NOP9	gene
CAMKK1	gene
COX4I1	gene
VDAC1	gene
CDKN1B	gene
CDCA8	gene
CTCFL	gene
BIK	gene
CYB561	gene
BECN1	gene
MSH2	gene
FHL3	gene
EED	gene
LOC106627982	gene
TRAF6	gene
TICAM1	gene
RAP2A	gene
ARHGAP45	gene
PDLIM7	gene
ARPC5L	gene
SIRPA	gene
BTG3	gene
